step,slope,roughness,curvature,variance,traversability_label
0.139539,48.4547,0.0299011,0.160287,0.00615829,0
0.143072,43.0585,0.0351145,0.220032,0.00269668,0
0.139306,52.6768,0.00171457,0.000289998,0.000207375,0
0.115824,12.5806,0.030627,0.191434,0,0
0.115824,26.0825,0.0249703,0.125987,0.00021176,0
0.117038,39.5921,0.0151779,0.0213132,0.0171924,0
0.135095,22.5299,0.0469157,0.209414,4.41682e-05,0
0.139306,52.3447,0.00226968,0.000511035,0.00015492,0
0.120214,33.9398,0.0202619,0.0409062,0.000729104,0
0.132977,37.407,0.0221173,0.0464004,0.000612166,0
0.134887,37.7755,0.0238351,0.0534475,0.000889803,0
0.12368,36.0671,0.0175272,0.0327841,0.00149806,0
0.123158,28.7385,0.0327354,0.107676,0.000248822,0
0.123158,9.24036,0.0433679,0.189273,0.000385347,0
0.119837,40.5839,0.0160781,0.0234919,0,0
0.137646,50.2775,0.00149424,0.000230725,0.0567148,0
0.12108,38.1306,0.0296463,0.0813647,0.0699344,0
0.252228,51.6412,0.00276264,0.000530689,0.0586349,0
0.405333,65.4891,0.0172066,0.0113382,0.0639493,0
0.291848,55.8629,0.007292,0.0030059,0.0336773,0
0.203057,54.6354,0.0155733,0.0176182,0.00586687,0
0.13937,38.1643,0.0197814,0.036845,0.00140363,0
0.114605,31.9736,0.0242586,0.0593356,0.000990161,0
0.100786,23.5153,0.0233102,0.114553,0.0246432,0
0.273908,56.9897,0.0201765,0.022991,0.000919707,0
0.368341,64.9728,0.00705092,0.00190394,0.0725833,0
0.279408,68.9207,0.0222514,0.0296471,0.0473453,0
0.298284,70.3904,0.0133149,0.0116295,0.0675383,0
0.340149,69.6713,0.00317631,0.00065459,0.0492691,0
0.203057,55.948,0.00314626,0.000718215,0.0211701,0
0.148797,43.4786,0.010169,0.00996708,0.00197459,0
0.231126,58.6202,0.0183834,0.0210384,0.00335616,0
0.367925,69.8454,0.00459693,0.000723441,0.0518605,0
0.404026,73.1436,0.00353784,0.000410821,0.0822698,0
0.251535,63.9041,0.0198836,0.0437935,0.0641424,0
0.155065,58.2372,0.0328779,0.181909,0.042401,0
0.264444,61.4857,0.00923752,0.00508737,0.039476,0
0.412642,71.1574,0.00191288,0.00011479,0.0455595,0
0.23493,55.5069,0.0156307,0.0159272,0.0320348,0
0.245144,57.3364,0.0288164,0.0501974,0.000933034,0
0.380666,67.3884,0.0228274,0.0182352,0.00115718,0
0.450305,70.4719,0.00597241,0.000948589,0.0297398,0
0.377557,69.1483,0.0108237,0.00419217,0.0517382,0
0.228871,55.7441,0.0428782,0.126805,0.0175339,0
0.336921,67.5219,0.0346406,0.046956,0.0240989,0
0.46093,70.525,0.0270503,0.0209861,0.0236871,0
0.185358,59.5691,0.00304255,0.000750639,0.00201483,0
0.188798,53.328,0.0225053,0.0380888,0.00120673,0
0.36482,65.5376,0.00936004,0.00332224,0.048557,0
0.483543,69.1115,0.0121854,0.00429229,0.0590107,0
0.455685,68.7451,0.0130761,0.0051074,0.0363836,0
0.295905,60.9972,0.0123047,0.00732345,0.0125813,0
0.133711,47.8826,2.51284e-05,6.72901e-08,0.0010756,0
0.160211,40.2407,0.0149578,0.0213509,0.00116916,0
0.311564,62.2653,0.0268371,0.0349897,0.00141555,0
0.312936,62.7376,0.0272163,0.0352478,0.0012432,0
0.139066,38.6102,0.0151397,0.0215546,0.000954082,0
0.228407,59.3907,0.0245115,0.0366767,0,0
0.250164,56.137,0.0273952,0.0444304,0,0
0.232128,57.9648,0.0121523,0.00932132,0,0
0.24198,58.8981,0.0229171,0.0312238,0,0
0.11422,54.8391,0.0189795,0.0797514,0.0127191,0
0.177045,59.1625,0.0174479,0.0214359,0.00819974,0
0.183518,45.8203,0.0216645,0.0389909,0.0105379,0
0.212307,56.6261,0.013756,0.0128262,0.0213628,0
0.248333,80.2023,0.0154793,0.0217014,0,0
0.245564,70.5174,0.0124014,0.0134241,0,0
0.189063,46.7819,0.0185584,0.0275872,0.00757876,0
0.222308,57.1177,0.0324637,0.0730183,0,0
0.243727,61.8875,0.0066752,0.00265998,0.0113582,0
0.174513,51.544,0.024615,0.0490887,0,0
